A;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24; ;x;xk; ;d
18;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;4,90625000;-1,56250000;0;0;0;-0,39062500;0; ;11179769402704815000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;4175750942071337700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;3,34375000;0,00000000;0;0;0;-0,39062500; ;5440894490605877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;2027491257595438500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;0,00000000;2,95312500;-1,56250000;0;0;0; ;190949475294068660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;83572975144037703000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;4,51562500;-1,56250000;0;0; ;154316078227264210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;67424386388654854000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;4,51562500;-1,56250000;0; ;108488718703251780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;47294518616868496000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;4,51562500;-1,56250000; ;67426279534033454000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;29319526493966617000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;2,95312500; ;36394975215177201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;15781163655219826000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000

;;;;;;;;;;;;;;;;;;;;;;;;;;;Interações;13
;;;;;;;;;;;;;;;;;;;;;;;;;;;Erro;0,000986
